level,xp,badges,quiz_score,code_challenge_score,study_time,interest_visual,interest_backend,interest_math,interest_web,interest_data,interest_cloud,interest_mobile,interest_security,frontend_perf,backend_perf,data_perf,algo_perf,career_path
21,2165,9,0.88,0.68,376,4,4,4,3,5,3,1,1,0.67,0.42,0.89,0.78,data
3,398,2,0.87,0.73,132,2,3,5,5,1,4,3,3,0.54,0.82,0.61,0.53,cloud
3,445,0,0.89,0.85,20,5,5,4,4,3,4,3,4,0.82,0.5,0.48,0.62,frontend
19,1999,5,0.6,0.64,462,5,5,4,4,4,3,4,4,0.61,0.85,0.77,0.68,backend
5,540,0,0.89,0.65,158,2,4,3,4,1,3,2,5,0.49,0.6,0.63,0.77,security
21,2128,8,0.7,0.51,422,5,1,4,4,3,4,4,5,0.88,0.56,0.47,0.6,mobile
13,1258,4,0.89,0.63,255,2,3,4,5,1,1,2,4,0.54,0.66,0.6,0.81,security
17,1832,4,0.57,0.68,361,4,5,4,5,4,1,3,5,0.85,0.76,0.69,0.66,fullstack
2,246,2,0.68,0.49,-9,4,3,5,4,3,5,2,3,0.63,0.81,0.68,0.73,cloud
4,561,3,0.94,0.72,162,4,5,3,4,2,1,2,3,0.8,0.77,0.62,0.6,fullstack
3,403,3,0.8,0.51,13,5,3,1,4,3,3,4,4,0.85,0.53,0.43,0.55,mobile
5,537,1,0.85,0.82,184,5,4,3,3,3,3,2,5,0.47,0.79,0.67,0.78,backend
15,1511,4,0.73,0.62,325,3,3,4,2,4,2,1,4,0.57,0.79,0.41,0.7,security
22,2153,9,0.68,0.49,506,4,2,4,4,3,2,4,1,0.85,0.49,0.62,0.78,frontend
9,852,5,0.83,0.75,253,5,4,4,4,5,5,4,5,0.55,0.67,0.89,0.86,data
3,360,1,0.76,0.72,79,4,5,2,5,2,2,3,2,0.75,0.89,0.42,0.6,fullstack
25,2538,8,0.78,0.89,534,4,3,5,4,4,3,5,4,0.42,0.45,0.88,0.84,data
21,2162,9,0.79,0.48,370,4,3,5,4,4,4,4,2,0.46,0.46,0.84,0.73,data
22,2290,6,0.9,0.64,408,4,1,3,5,5,5,4,3,0.76,0.5,0.51,0.78,frontend
2,371,0,0.66,0.76,105,4,4,5,5,4,3,4,4,0.66,0.91,0.66,0.77,backend
5,593,0,0.57,0.82,82,4,3,5,5,5,1,2,1,0.43,0.56,0.94,0.74,data
12,1295,4,0.74,0.53,211,3,5,4,4,4,1,5,5,0.75,0.77,0.59,0.68,fullstack
5,577,2,0.58,0.8,93,4,5,5,5,3,4,3,3,0.87,0.88,0.66,0.64,fullstack
5,512,3,0.65,0.8,106,5,4,5,2,5,2,3,4,0.51,0.58,0.9,0.82,data
7,718,4,0.87,0.62,108,5,5,2,2,4,3,4,4,0.67,0.85,0.61,0.55,backend
25,2557,7,0.72,0.59,482,4,4,1,4,1,2,1,4,0.87,0.76,0.61,0.56,fullstack
3,497,2,0.78,0.86,107,1,5,3,2,3,4,2,5,0.7,0.89,0.79,0.63,backend
8,919,3,0.84,0.67,162,2,4,4,1,2,1,4,5,0.57,0.69,0.43,0.7,security
13,1387,3,0.66,0.48,221,3,4,3,5,3,3,5,5,0.58,0.75,0.74,0.71,backend
18,1886,5,0.66,0.73,376,5,1,2,4,2,1,5,4,0.92,0.47,0.52,0.59,mobile
2,364,0,0.93,0.87,10,3,3,4,3,5,1,1,3,0.52,0.56,0.84,0.83,data
4,530,0,0.82,0.89,177,5,3,2,1,3,4,1,3,0.5,0.82,0.72,0.54,cloud
9,1070,3,0.68,0.59,242,1,5,4,2,3,3,5,5,0.47,0.8,0.67,0.78,backend
3,267,2,0.64,0.67,38,4,5,2,4,1,5,5,1,0.91,0.48,0.52,0.78,mobile
2,381,1,0.69,0.69,2,1,3,3,4,4,1,3,5,0.63,0.68,0.53,0.84,security
4,372,0,0.56,0.58,144,3,4,5,3,1,5,3,4,0.65,0.82,0.63,0.75,cloud
23,2324,7,0.82,0.64,503,1,3,4,4,2,5,4,5,0.5,0.62,0.67,0.77,security
20,2128,7,0.74,0.48,495,4,4,4,1,3,3,1,3,0.69,0.83,0.67,0.57,backend
14,1459,3,0.87,0.65,353,5,5,1,3,1,4,5,1,0.8,0.5,0.69,0.58,mobile
11,1273,5,0.59,0.72,248,2,3,4,4,5,2,1,1,0.63,0.53,0.84,0.74,data
7,813,2,0.71,0.69,109,2,4,2,1,4,4,2,3,0.48,0.87,0.71,0.74,backend
